ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
Sữa,Bánh Tươi,15,83,287,0.003386004514672686,0.18072289156626506,2.7895554342806768,0.002172189412430127
Đồ Dùng Phòng Ngủ,Vệ Sinh Phụ Nữ,9,52,275,0.0020316027088036117,0.17307692307692307,2.7881118881118883,0.001302936575472996
Rau Củ,Thực Phẩm Đông Lạnh,9,89,161,0.0020316027088036117,0.10112359550561797,2.7824691185707304,0.001301458860936871
"Muối, Đường",Khô Chế Biến Sẵn,12,101,191,0.002708803611738149,0.1188118811881188,2.7556891814835933,0.0017258177111730505
Vệ Sinh Phụ Nữ,"Bột Giặt, Nước Giặt, Viên Giặt",138,275,812,0.031151241534988713,0.5018181818181818,2.7377519032691446,0.01977283960682602
"Bột Giặt, Nước Giặt, Viên Giặt",Vệ Sinh Phụ Nữ,138,812,275,0.031151241534988713,0.16995073891625614,2.7377519032691446,0.01977283960682602
Thiết Bị Nhà Bếp,Vệ Sinh,16,43,607,0.0036117381489841984,0.37209302325581395,2.715604766100916,0.002281744110798017
Thủy Sản Tươi Sống,Cà Phê,18,71,417,0.004063205417607223,0.2535211267605634,2.6932819941230113,0.002554560787570892
Thực Phẩm Đông Lạnh,Thực Phẩm Bổ Sung,25,161,256,0.0056433408577878106,0.15527950310559005,2.6870632763975153,0.003543151812238534
Thú Cưng,Vệ Sinh Phụ Nữ,11,66,275,0.0024830699774266367,0.16666666666666666,2.6848484848484846,0.001558224500507009
Thịt Bò,Vệ Sinh Phụ Nữ,9,54,275,0.0020316027088036117,0.16666666666666666,2.6848484848484846,0.0012749109549602799
Tẩy Trang,Chăm Sóc Răng Miệng,20,27,1244,0.004514672686230248,0.7407407407407407,2.6378468500654995,0.0028031735193555125
"Bánh Bao, Giò Chả, Đậu Hủ",Vệ Sinh Phụ Nữ,41,252,275,0.00925507900677201,0.1626984126984127,2.620923520923521,0.005723850822169795
Vệ Sinh Phụ Nữ,"Bánh Bao, Giò Chả, Đậu Hủ",41,275,252,0.00925507900677201,0.14909090909090908,2.6209235209235207,0.005723850822169795
Tẩy Trang,Chăm Sóc Tóc,23,27,1449,0.005191873589164785,0.8518518518518519,2.60435038212816,0.003198334768584808
Vệ Sinh Phụ Nữ,Chăm Sóc Nhà Cửa,159,275,989,0.03589164785553047,0.5781818181818181,2.5898336244140086,0.022032978511992415
Chăm Sóc Nhà Cửa,Vệ Sinh Phụ Nữ,159,989,275,0.03589164785553047,0.16076845298281092,2.5898336244140086,0.022032978511992415
Làm Sạch Cơ Thể,Chăm Sóc Răng Miệng,859,1189,1244,0.19390519187358918,0.7224558452481077,2.572732632193824,0.11853583967306841
