bill_id,barcode
66,411317810006
210,8936053921943
732,6924381000425
1110,8935337504056
1178,6924381000425
1356,6924381000425
1881,6924381000425
1955,6924381000425
2409,6924381000425
2611,6924381000425
2630,6924381000425
3199,6924381000425
4209,6924381000425
