brand_name,n_categories
Biên Hòa,2
Blendy,2
Thanh An Food,2
Tempo,2
Sunsilk,2
Suntory Pepsico,2
Surf,2
Trường Vinh,2
Toppoint,2
Twinings,2
Trung Nguyên,2
Trà Đại Gia,2
Thiện Nhà Tôm,2
Komax,2
L'affair,2
Tomato T&P,2
V.food,2
Treaclemoon,2
Bobby,2
Bodymiss,2
Bottega Zelachi,2
Bamboo,2
Trường Sơn,2
LipIce,2
Lency,2
Kokola,2
Anlene,2
Tường An,2
VINAMIT,2
VITEC FARM,2
VP Milk,2
Gimjaban,2
Glico,2
Fily,2
Firma,2
Goldsun,2
Fay,2
Let Green,2
Latino Bella,2
Aji-Mayo,2
Aji-Quick,2
An Vĩnh,2
Aiken,2
American Garden,2
AJE,2
lof kun,2
Đức Thành,2
Hương Mai,2
Just Việt,2
Hạt A,2
Hồng Nam,2
Hữu Nghị,2
Hữu Nghị Food,2
Hạ Long,2
Hảo Hảo,2
Kinohimitsu,2
Head & Shoulder,2
Hapi,2
Heli,2
Hasfarm Greens,2
Jomi,2
KIKKOMAN,2
Jin Jin,2
Belleto,2
Asahi,2
Avonmore,2
King Coffee,2
Kinh Đô,2
Kerasys,2
Kewpie,2
Kiwi,2
On1,2
Phú Minh Tâm,2
Olivoilà,2
Otto,2
Optimum,2
PRESIDENT,2
NutiMilk,2
Ovaltine,2
Cirio,2
Clear,2
Petkit,2
Phú Hương,2
Phúc Long,2
Phạm Nguyên,2
Perfect,2
Perioe,2
Premier,2
Pantene,2
Pulppy,2
Pediasure,2
Pedigree,2
D-nee,2
DAMTUH,2
Crown,2
Điện Quang,2
Đôi Đũa Vàng,2
Đầm Sen,2
Đệ Nhất,2
Xuân Thanh,2
An An,2
An Lợi,2
Power100,2
137 Degrees,1
584 Nha Trang,1
7UP,1
9 Phẻ,1
A Bonne,1
A Round Me,1
A Tuấn Khang,1
A-One,1
A1 Food,1
ADE,1
ADEGSO,1
AFC,1
BASAX,1
BLANC 1664,1
BONCHA,1
BORGES,1
Arla,1
Aroma,1
WANT WANT,1
Wafello,1
Ba Con Tôm,1
Ba Khánh,1
Ba Vì,1
Babi Mild,1
Babiboo,1
Baby Care,1
B'fast,1
BALDUCCI,1
Vị Xưa,1
Alcofree,1
Almond Breeze,1
Altist,1
ANPASO,1
ASA,1
Acecook,1
Ahamisa,1
Winka,1
Winmaxx,1
Wangta,1
Warheads,1
Warrior,1
We Chips,1
Welcos,1
Well Being Life,1
Hexa,1
Hi-Chew,1
Hillway,1
I-Soup,1
ICE+,1
ICHI,1
IKA,1
IRONMAN,1
Hiệu A1,1
Hoa Lily,1
Hoa Lúa,1
Hoegaarden,1
Hokkaido,1
Heo Cao Bồi,1
Heritage,1
Hershey,1
Huro,1
Hy Vọng,1
Hàng Việt,1
Hometex,1
Hortex,1
Hot Wheels,1
Hoàn Hảo,1
Hoàng Yến,1
Halls,1
Hana,1
Hanami,1
Hando,1
Handy Hảo Hảo,1
Hubba Bubba,1
Humancel,1
Hura,1
Johnson's Baby,1
Jongga,1
Jacob's Creek,1
Jagabee,1
Jagermeister,1
Green Fields,1
Green Time,1
Greenwood,1
Hương Thanh Noni,1
Jordan,1
Juver,1
KONNYAKU,1
KOOL,1
Jiaying,1
Jinro,1
Johnnie Walker,1
Hải Nhi,1
Hảo 100,1
Hù Kiệt,1
Hùng Cường,1
Hùng Phát,1
Hưng Thịnh,1
Hương Nguyên,1
Hương Quê,1
Imperial,1
In Ik,1
Hồng Hạnh,1
Hồng Lam,1
Hạnh Dung,1
Hạnh Phúc,1
Hải Châu,1
Hải Long,1
Jarmino,1
Jele,1
Jia Jia,1
Interflour,1
Ipek,1
Ivanovich,1
JIM BEAM,1
JP Chenet,1
Hennessy,1
Haribo,1
Hasfarm,1
Hausubi,1
Hanil,1
Hanoli,1
Jameson,1
Janbee,1
Grand'Or,1
Grand’Or,1
Head & Shoulders,1
Headway,1
Heineken,1
Heinz,1
Hella Beauty,1
Henk,1
Grizzy,1
Grow Gold,1
Goodbake,1
Goodmood,1
Goody,1
Goplana,1
Gotz,1
Goute,1
HABECO,1
HBAF,1
HERB DAY,1
HITECH,1
Green Eco,1
Kfood,1
Kid Mattres,1
Kiddy,1
Genki,1
Gervenne,1
Gia Định,1
HOALUA Rice,1
HT Food,1
Hai Thanh,1
Gumi Gumi Jelly,1
Gấu Đỏ,1
Kims Cook,1
Kin Kin,1
Kinder,1
Kellogg's,1
Girlz Only,1
Glass Lock,1
Glen Turner,1
Glenfiddich,1
Jacker,1
Kiri,1
KitKat,1
Klairs,1
Kleannara,1
Kim Bôi,1
Kim Hằng,1
KimChoo,1
Lilly,1
Lindt,1
Lion,1
Lion Café,1
Lip on Lip,1
Lip pure,1
Lego,1
Lenger,1
Kose,1
Kotex,1
Krisma Food,1
Koala's,1
Kogumi,1
Kokimi,1
Kokomi,1
Lifree,1
LUTOSA,1
La Fonte,1
La Vie,1
Labanita,1
Kunyoung,1
L'angfarm,1
Kome88,1
Koreno,1
Kikkiman,1
Kabanos,1
Kanro,1
Karamucho,1
Kasugai,1
Kazu,1
Keep Play,1
LOTTY LORRY,1
Gokochi,1
Gold Bone,1
Gillette,1
Gingerbon,1
Lay's,1
Le Gourmet,1
Lacasitos,1
Lactalis,1
Good Day,1
Good Farm,1
Good Meall,1
GoodFeel,1
Global Century,1
Glucerna,1
Go&Fly,1
Godbawee,1
Foodaholic,1
Foreverest,1
Farmer's,1
Felina,1
Ferrero Rocher,1
Fiamma,1
Golia,1
Good Care,1
Les Enfants,1
Libra,1
LifeStyles,1
Laurier,1
Lavie,1
Five Goats,1
Flexoffice,1
Flora,1
Max Clean,1
Max Well,1
Maison Perrier,1
Majestic,1
Malkist,1
Malto,1
Mamamy,1
Marshies,1
Listerine,1
Liên Hiệp Thành,1
Liên Thành,1
Loacker,1
Marvela,1
Masseria Doppio Passo,1
Mastsunaga,1
Matrix,1
Làng Chài Xưa,1
Lê Thị Hồng,1
Lý Sơn JSC,1
M&M's,1
Look At Me,1
Lorenz,1
Lu,1
Luck Lady,1
Ladysofts,1
Larue,1
M-wrap,1
MAMA,1
MARKENBURG,1
MAXIFOOD,1
MICRONWARE,1
Lux,1
Firstar,1
Fisherman's Friend,1
Fitme,1
Maeil,1
Maille,1
Maison,1
MIKKO,1
MONDAY,1
Garglin,1
Fox's,1
Frenesi,1
Fresh,1
Fresh Cuts,1
Fressi Care,1
Frissta,1
Fristi,1
Elizzer,1
Ellips,1
Enaak,1
Fujitsu,1
Funday,1
Funmore,1
G7,1
Ganador,1
Maruto,1
MacCoffee,1
MacFito,1
Macallan,1
Envie Casa,1
Epco Foods,1
Equal,1
Esprézzo,1
McVitie's,1
Mocom,1
Modern,1
Mogu Mogu,1
Moist Diane,1
Molfix,1
Molped,1
Mom Cooks,1
MediAnswer,1
Median,1
Mega Home,1
Mei Wei,1
Mayan Care,1
Maybelline,1
Mayumi,1
McCormick,1
Mihoo,1
Meiwa,1
Meko Star,1
Mekong Cocoa,1
Mekong Fruit,1
Melano CC,1
Menitems,1
Mentholatum,1
Mac Coffee,1
MacCereal,1
Mentos,1
Mermaid,1
Merries,1
Meta Fresh,1
Midimo,1
Migita,1
NISSIN,1
Nakydaco,1
Nam Huy,1
My Cafe Latte,1
Dosi,1
Double Rich,1
Doublemint,1
Diễm Trúc,1
Milkis,1
Milo,1
Nanaco,1
Nano Tissue,1
Nature,1
Naturipe,1
Nautilus,1
NIN House,1
Minh Phú,1
Minova,1
Mira,1
Mira Aroma,1
Mira Suri,1
Mikochi,1
Milk Lab,1
MilkLab,1
Mirinda,1
Miss Candle,1
Mitmaifoods,1
Mix,1
Mlekovita,1
Minh Hà,1
Minh Hà Foods,1
Minh Nam Foods,1
Monster Energy,1
Montgras,1
Moony,1
Morden,1
Morocco,1
Mountain Legend,1
Mr Lee,1
Nikken,1
FARMERS UNION,1
FNV,1
Energizer,1
Ensure,1
Ensure Gold,1
Mê Trang,1
NESVITA,1
Mondahmin,1
Fanta,1
Fantasy,1
Farm Best,1
Farmer Union,1
Eveready,1
