category_path,n_bills,pct_bills
Bánh Kẹo > Bánh Các Loại > Bánh Bông Lan,186,0.04198645598194131
"Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Cơ Thể > Khẩu Trang, Băng Cá Nhân, Bông Y Tế",183,0.04130925507900677
Thực Phẩm Bổ Sung > Thực Phẩm Chức Năng,175,0.039503386004514675
Bánh Kẹo > Bánh Các Loại > Bánh Xốp,162,0.036568848758465014
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Tóc > Ủ Tóc,159,0.03589164785553047
"Nhà Cửa Đời Sống > Đồ Dùng Phòng Tắm > Móc Treo, Thùng Đựng Đồ",153,0.0345372460496614
"Thực Phẩm Đông Lạnh > Cá Viên, Xúc Xích > Xúc Xích, Lạp Xưởng, Thịt Nguội > Xúc Xích",137,0.0309255079006772
"Gạo, Mì, Bún, Đậu > Mì, Bún, Nui Khô > Miến, Bún Khô",134,0.030248306997742665
"Chế Phẩm Từ Sữa > Sữa > Sữa Nước > Sữa Hạt, Sữa Đậu",134,0.030248306997742665
"Thời Trang > Thời Trang Nam > Vali, Túi Xách, Balo",133,0.03002257336343115
"Trà, Cà Phê > Trà, Cà Phê Pha Chế > Trà > Trà Sấy Khô",127,0.028668171557562076
"Chế Phẩm Từ Sữa > Thực Phẩm Từ Sữa > Bơ, Phô Mai > Phô Mai",127,0.028668171557562076
"Thực Phẩm Đông Lạnh > Rau, Trái Cây Đông Lạnh",123,0.02776523702031603
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Tóc > Nhuộm Tóc,114,0.025733634311512415
Thực Phẩm Khô > Thực Phẩm Khô > Khô Chế Biến Sẵn > Thịt Khô,105,0.023702031602708805
"Dầu Ăn, Gia Vị > Gia Vị > Tương Ớt, Tương Cà, Tương Đen > Mayonnaise",105,0.023702031602708805
"Nhà Cửa Đời Sống > Dụng Cụ Bếp, Phòng Ăn > Hộp Thực Phẩm",104,0.02347629796839729
"Bánh Tươi > Pastry, Pie",100,0.022573363431151242
"Sức Khỏe, Làm Đẹp > Chăm Sóc Da Mặt > Mặt Nạ",99,0.02234762979683973
"Gạo, Mì, Bún, Đậu > Rong Biển, Bánh Tráng > Bánh Tráng, Bánh Phồng",96,0.02167042889390519
Bánh Tươi > Pizza,91,0.02054176072234763
"Thực Phẩm Đông Lạnh > Bánh Bao, Giò Chả, Đậu Hủ > Bánh Bao, Bánh Giò, Há Cảo > Há Cảo, Dim Sum",90,0.020316027088036117
"Dầu Ăn, Gia Vị > Gia Vị > Muối, Đường > Đường",89,0.020090293453724605
"Thời Trang > Thời Trang Nam > Mũ, Nón",88,0.019864559819413093
Thực Phẩm Khô > Thực Phẩm Khô > Khô Chế Biến Sẵn > Thủy Sản Khô,87,0.01963882618510158
"Mẹ Và Bé > Đồ Chơi, Thú Bông > Đồ Chơi Bé Trai",86,0.019413092550790066
Thủy sản > Thủy Sản Đông Lạnh,86,0.019413092550790066
"Bánh Tươi > Bánh Kem, Bánh Lạnh",83,0.01873589164785553
Chế Phẩm Từ Sữa > Sữa > Sữa Đặc,83,0.01873589164785553
Trái Cây > Chuối,75,0.016930022573363433
Thực Phẩm Khô > Thực Phẩm Đóng Hộp > Thủy Sản Hộp,73,0.016478555304740405
"Thực Phẩm Đông Lạnh > Pizza, Cơm, Lẩu > Thực Phẩm Chế Biến Khác",71,0.016027088036117382
Thực Phẩm Khô > Thực Phẩm Đóng Hộp > Thịt Hộp,68,0.015349887133182845
"Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Tóc > Tạo Kiểu, Dưỡng Tóc",67,0.015124153498871333
Món Ăn Nhanh > Món Ăn Nhanh,67,0.015124153498871333
Bánh Kẹo > Bánh Kẹo Khác,67,0.015124153498871333
Món Ăn Nhanh > Món Ăn Nhanh Khác,64,0.014446952595936794
"Dầu Ăn, Gia Vị > Gia Vị > Tương Ớt, Tương Cà, Tương Đen > Tương Cà",64,0.014446952595936794
"Thực Phẩm Đông Lạnh > Bánh Bao, Giò Chả, Đậu Hủ > Bánh Bao, Bánh Giò, Há Cảo > Bánh Bao, Bánh Giò",64,0.014446952595936794
"Chế Phẩm Từ Sữa > Thực Phẩm Từ Sữa > Bơ, Phô Mai > Bơ",60,0.013544018058690745
"Sức Khỏe, Làm Đẹp > Chăm Sóc Da Mặt > Làm Sạch > Sữa Rửa Mặt",59,0.013318284424379233
Thú Cưng > Sản Phẩm Thú Cưng Khác,59,0.013318284424379233
"Dầu Ăn, Gia Vị > Gia Vị > Sốt, Gia Vị Các Loại > Dầu Hào, Tương Hột, Giấm",58,0.01309255079006772
"Sức Khỏe, Làm Đẹp > Chăm Sóc Da Mặt > Chống Nắng",56,0.012641083521444696
Thủy sản > Thủy Sản Khô,55,0.012415349887133182
"Thực Phẩm Đông Lạnh > Pizza, Cơm, Lẩu > Pizza, Lẩu Đông Lạnh > Pizza, Mì, Cơm Đông Lạnh",55,0.012415349887133182
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Làm Sạch Cơ Thể > Xà Bông Cục,54,0.01218961625282167
Đồ Uống > Rượu > Vang Đỏ,54,0.01218961625282167
"Nhà Cửa Đời Sống > Đồ Dùng Phòng Ngủ > Gối, Ruột Gối, Vỏ Gối",52,0.011738148984198645
"Thực Phẩm Đông Lạnh > Pizza, Cơm, Lẩu > Pizza, Lẩu Đông Lạnh > Lẩu",50,0.011286681715575621
"Thịt > Thịt Bò > Nạm Bò, Thịt Bò Xay",49,0.011060948081264108
"Thực Phẩm Bổ Sung > Hồng Sâm, Nhân Sâm",49,0.011060948081264108
Nhà Cửa Đời Sống > Văn Phòng Phẩm > Dụng Cụ Văn Phòng > Dụng Cụ Văn Phòng Khác,48,0.010835214446952596
"Gạo, Mì, Bún, Đậu > Mì, Bún, Topokki Ăn Liền > Topokki",46,0.01038374717832957
Chế Phẩm Từ Sữa > Sữa > Sữa Nước > Sữa Công Thức,46,0.01038374717832957
Thủy sản > Thủy Sản Tươi Sống > Cá Sông,46,0.01038374717832957
"Mẹ Và Bé > Chăm Sóc Bé > Miếng Lót, Tã Trẻ Em",46,0.01038374717832957
Đồ Uống > Rượu > Rượu Mạnh,46,0.01038374717832957
"Dầu Ăn, Gia Vị > Gia Vị > Sốt, Gia Vị Các Loại > Bột Gia Vị",45,0.010158013544018058
Chế Phẩm Từ Sữa > Sữa > Sữa Bột > Sữa Người Lớn,45,0.010158013544018058
"Chăm Sóc Cá Nhân > Chăm Sóc Nam Giới > Làm Sạch Cơ Thể > Dạo Cạo, Bọt Cạo",45,0.010158013544018058
Đồ Uống > Nước Ngọt > Nước Dinh Dưỡng,42,0.009480812641083521
"Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Cơ Thể > Lotion, Dưỡng Ẩm",42,0.009480812641083521
Thực Phẩm Đông Lạnh > Kim Chi,40,0.009029345372460496
"Sức Khỏe, Làm Đẹp > Chăm Sóc Da Mặt > Dưỡng Da",40,0.009029345372460496
"Điện Gia Dụng > Công Cụ & Thiết Bị Điện > Đèn, Ổ Cắm Điện > Pin",39,0.008803611738148984
"Trà, Cà Phê > Trà, Cà Phê Đóng Chai > Cà Phê Đóng Chai",39,0.008803611738148984
Đồ Uống > Rượu > Cider,39,0.008803611738148984
"Mẹ Và Bé > Đồ Chơi, Thú Bông > Thú Bông",38,0.008577878103837472
Trái Cây > Trái Cây Khác,37,0.008352144469525959
Rau Củ > Rau Gia Vị,35,0.007900677200902935
"Hóa Phẩm, Vệ Sinh > Chăm Sóc Quần Áo > Bột Giặt, Nước Giặt, Viên Giặt > Viên Giặt",35,0.007900677200902935
"Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Vệ Sinh Phụ Nữ > Dao Cạo, Tẩy Lông",35,0.007900677200902935
Thực Phẩm Bổ Sung > Mật Ong,34,0.007674943566591422
Rau Củ > Rau Củ,34,0.007674943566591422
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Vệ Sinh Phụ Nữ > Dung Dịch Vệ Sinh,32,0.007223476297968397
Món Ăn Nhanh > Món Tráng Miệng,30,0.006772009029345372
"Sức Khỏe, Làm Đẹp > Trang Điểm > Chăm Sóc Móng",29,0.00654627539503386
Thời Trang > Thời Trang Nam > Trang Phục Thể Thao,28,0.006320541760722348
Nhà Cửa Đời Sống > Nội Thất > Đồ Nội Thất Khác,27,0.006094808126410835
Điện Gia Dụng > Thiết Bị Nhà Bếp > Nồi Cơm Điện,26,0.005869074492099322
"Dầu Ăn, Gia Vị > Dầu Ăn",26,0.005869074492099322
"Hóa Phẩm, Vệ Sinh > Chăm Sóc Quần Áo > Xả Vải, Xịt Vải, Nước Tẩy > Nước Tẩy, Vệ Sinh Lồng Giặt",25,0.0056433408577878106
